income,age,sex,employment,education
50000,43,Male,Employee of a private for profit,Associate's degree
30000,48,Female,State government employee,Associate's degree
35000,39,Male,Employee of a private for profit,Regular high school diploma
53000,42,Male,Self employed incorporated,"some college credit, no degree"
24000,36,Female,Employee of a private for profit,no high school diploma
46000,35,Female,State government employee,Bachelor's degree
29000,32,Male,Employee of a private for profit,Regular high school diploma
50000,33,Female,Employee of a private for profit,Bachelor's degree
48000,40,Male,Private not-for-profit employee,Associate's degree
33000,23,Female,Employee of a private for profit,Regular high school diploma
43000,41,Male,Local government employee,Associate's degree
70000,48,Female,Employee of a private for profit,Bachelor's degree
45000,45,Male,Employee of a private for profit,Regular high school diploma
35020,45,Female,Employee of a private for profit,Associate's degree
160000,44,Male,Employee of a private for profit,Bachelor's degree
50000,48,Male,Self employed not incorporated,"some college credit, no degree"
54000,39,Female,Employee of a private for profit,Bachelor's degree
20000,31,Female,Employee of a private for profit,Master's degree
17700,20,Male,Private not-for-profit employee,Regular high school diploma
17000,33,Female,Employee of a private for profit,Regular high school diploma
19000,30,Male,Local government employee,Bachelor's degree
1.00E+05,44,Male,Self employed incorporated,Bachelor's degree
60000,31,Male,Employee of a private for profit,Bachelor's degree
38000,21,Female,Employee of a private for profit,Master's degree
38100,24,Male,Employee of a private for profit,Bachelor's degree
16600,42,Female,Employee of a private for profit,Regular high school diploma
22000,46,Female,Employee of a private for profit,Associate's degree
28000,46,Male,Employee of a private for profit,no high school diploma
46000,45,Male,Private not-for-profit employee,Bachelor's degree
33000,29,Male,Employee of a private for profit,"some college credit, no degree"
20000,48,Female,Employee of a private for profit,Regular high school diploma
85020,27,Female,Employee of a private for profit,Bachelor's degree
10000,20,Female,Employee of a private for profit,"some college credit, no degree"
34000,24,Female,Employee of a private for profit,Associate's degree
30000,48,Female,Local government employee,Regular high school diploma
30000,24,Male,Private not-for-profit employee,Bachelor's degree
53000,44,Male,Employee of a private for profit,"some college credit, no degree"
32000,38,Female,State government employee,Bachelor's degree
68000,27,Male,Private not-for-profit employee,Associate's degree
38000,47,Male,Employee of a private for profit,Regular high school diploma
35000,37,Female,Employee of a private for profit,Regular high school diploma
50000,36,Female,State government employee,Master's degree
12000,30,Female,Employee of a private for profit,no high school diploma
5500,37,Male,Employee of a private for profit,Bachelor's degree
48100,34,Male,Employee of a private for profit,Regular high school diploma
92000,45,Male,Local government employee,Doctorate degree
90000,28,Female,Employee of a private for profit,Bachelor's degree
120000,44,Male,Self employed not incorporated,Associate's degree
33000,36,Female,Employee of a private for profit,Associate's degree
50000,37,Female,State government employee,Bachelor's degree
12500,29,Female,Employee of a private for profit,no high school diploma
40000,33,Male,Employee of a private for profit,Regular high school diploma
50000,32,Male,Employee of a private for profit,"some college credit, no degree"
26500,36,Female,Local government employee,Associate's degree
130000,43,Male,Employee of a private for profit,Bachelor's degree
45000,30,Male,Employee of a private for profit,GED or alternative credential
55000,24,Female,Employee of a private for profit,Bachelor's degree
40000,37,Male,Employee of a private for profit,"some college credit, no degree"
83000,40,Male,State government employee,Bachelor's degree
73000,25,Male,Employee of a private for profit,Master's degree
67000,34,Male,Employee of a private for profit,"some college credit, no degree"
35000,26,Female,Employee of a private for profit,Bachelor's degree
1.00E+05,47,Male,Employee of a private for profit,Professional degree
22000,45,Female,Employee of a private for profit,"some college credit, no degree"
51000,41,Male,Employee of a private for profit,Associate's degree
29000,24,Male,Local government employee,Regular high school diploma
10000,44,Female,Employee of a private for profit,no high school diploma
1100,22,Female,Employee of a private for profit,Associate's degree
160000,32,Female,Employee of a private for profit,Professional degree
32000,30,Male,Employee of a private for profit,"some college credit, no degree"
51000,48,Female,Employee of a private for profit,Bachelor's degree
30000,33,Male,Employee of a private for profit,Regular high school diploma
17000,38,Female,Employee of a private for profit,no high school diploma
30000,40,Male,Employee of a private for profit,"some college credit, no degree"
28700,49,Female,Employee of a private for profit,"some college credit, no degree"
99000,38,Female,Employee of a private for profit,Bachelor's degree
18000,30,Female,Employee of a private for profit,no high school diploma
13600,27,Female,Employee of a private for profit,Bachelor's degree
8900,23,Female,Employee of a private for profit,Regular high school diploma
25000,31,Male,Employee of a private for profit,"some college credit, no degree"
35000,33,Female,Private not-for-profit employee,Bachelor's degree
72004,39,Male,State government employee,Bachelor's degree
30000,30,Female,Employee of a private for profit,Master's degree
46000,40,Female,Employee of a private for profit,Bachelor's degree
59000,47,Male,Self employed not incorporated,Regular high school diploma
49000,29,Male,Employee of a private for profit,Regular high school diploma
20000,33,Female,State government employee,Master's degree
50000,47,Male,Self employed not incorporated,"some college credit, no degree"
19200,50,Male,Employee of a private for profit,no high school diploma
54000,44,Female,Employee of a private for profit,Bachelor's degree
40000,26,Female,Private not-for-profit employee,Bachelor's degree
13000,40,Female,Employee of a private for profit,"some college credit, no degree"
63000,45,Female,Local government employee,Master's degree
20000,42,Female,Employee of a private for profit,Regular high school diploma
27000,22,Female,Employee of a private for profit,Regular high school diploma
40000,40,Male,Employee of a private for profit,"some college credit, no degree"
202000,46,Female,State government employee,Professional degree
56000,37,Male,Employee of a private for profit,Bachelor's degree
17100,20,Male,Employee of a private for profit,"some college credit, no degree"
50000,26,Male,Employee of a private for profit,Master's degree
16000,37,Female,Employee of a private for profit,no high school diploma
105000,50,Male,Employee of a private for profit,Associate's degree
22200,37,Female,Employee of a private for profit,GED or alternative credential
21000,26,Female,Employee of a private for profit,Associate's degree
30000,28,Female,Employee of a private for profit,"some college credit, no degree"
17000,23,Female,Employee of a private for profit,Regular high school diploma
20000,23,Female,Employee of a private for profit,"some college credit, no degree"
65000,29,Male,Employee of a private for profit,Bachelor's degree
120004,29,Female,Employee of a private for profit,Doctorate degree
63000,48,Male,Employee of a private for profit,Regular high school diploma
30200,50,Male,Employee of a private for profit,Regular high school diploma
26000,50,Male,Employee of a private for profit,"some college credit, no degree"
70000,39,Female,Employee of a private for profit,Master's degree
75000,37,Male,Private not-for-profit employee,Bachelor's degree
24000,26,Female,Employee of a private for profit,Regular high school diploma
33800,31,Female,Employee of a private for profit,Regular high school diploma
60000,29,Male,Employee of a private for profit,Bachelor's degree
20000,42,Female,Local government employee,Associate's degree
18000,44,Female,Local government employee,"some college credit, no degree"
35000,28,Male,Employee of a private for profit,Regular high school diploma
16000,29,Male,Employee of a private for profit,"some college credit, no degree"
40000,37,Male,Employee of a private for profit,Bachelor's degree
50000,27,Male,Employee of a private for profit,Associate's degree
33000,46,Female,State government employee,Bachelor's degree
58000,29,Male,Employee of a private for profit,Bachelor's degree
19000,21,Male,Employee of a private for profit,Regular high school diploma
48000,48,Female,Federal government employee,"some college credit, no degree"
50000,25,Male,Employee of a private for profit,no high school diploma
28000,27,Female,Employee of a private for profit,"some college credit, no degree"
23000,47,Female,State government employee,"some college credit, no degree"
50000,36,Male,Local government employee,Master's degree
36000,43,Female,Employee of a private for profit,Bachelor's degree
195000,36,Female,Private not-for-profit employee,Professional degree
15000,46,Male,Employee of a private for profit,Regular high school diploma
24000,32,Male,Employee of a private for profit,Regular high school diploma
39000,38,Female,Private not-for-profit employee,Bachelor's degree
44100,48,Female,Employee of a private for profit,no high school diploma
40000,26,Male,Employee of a private for profit,Bachelor's degree
60000,46,Female,Self employed not incorporated,GED or alternative credential
10000,22,Female,Employee of a private for profit,Regular high school diploma
35000,24,Male,Local government employee,Bachelor's degree
57000,36,Male,Employee of a private for profit,Bachelor's degree
30000,27,Male,Employee of a private for profit,"some college credit, no degree"
76000,48,Male,Federal government employee,Bachelor's degree
46500,33,Male,Employee of a private for profit,"some college credit, no degree"
78020,48,Male,Employee of a private for profit,"some college credit, no degree"
61200,32,Female,Employee of a private for profit,Bachelor's degree
73000,45,Male,Employee of a private for profit,Regular high school diploma
50000,39,Female,Employee of a private for profit,Associate's degree
166400,34,Male,Self employed not incorporated,"some college credit, no degree"
36000,27,Female,State government employee,Master's degree
110000,45,Male,Employee of a private for profit,Bachelor's degree
40000,50,Male,Employee of a private for profit,Regular high school diploma
37000,24,Male,Employee of a private for profit,Regular high school diploma
50000,49,Female,Employee of a private for profit,"some college credit, no degree"
36000,50,Male,Employee of a private for profit,no high school diploma
20000,31,Male,Employee of a private for profit,"some college credit, no degree"
35000,46,Male,Self employed not incorporated,Regular high school diploma
32000,20,Male,Employee of a private for profit,Regular high school diploma
31200,24,Male,Employee of a private for profit,Associate's degree
15000,38,Male,Employee of a private for profit,Bachelor's degree
23100,25,Female,Employee of a private for profit,Regular high school diploma
63000,36,Female,Employee of a private for profit,Bachelor's degree
30000,30,Female,Employee of a private for profit,Bachelor's degree
35000,26,Male,Employee of a private for profit,Regular high school diploma
91000,46,Male,Employee of a private for profit,"some college credit, no degree"
70000,48,Male,Employee of a private for profit,Regular high school diploma
60000,41,Female,Employee of a private for profit,Bachelor's degree
15600,31,Female,Employee of a private for profit,Associate's degree
24000,33,Female,Employee of a private for profit,Bachelor's degree
20000,30,Female,Local government employee,Regular high school diploma
120400,34,Female,Employee of a private for profit,Bachelor's degree
135000,31,Female,Self employed incorporated,Doctorate degree
15000,22,Female,Employee of a private for profit,"some college credit, no degree"
65000,49,Male,Employee of a private for profit,Bachelor's degree
36000,26,Male,Local government employee,Bachelor's degree
24000,26,Male,Employee of a private for profit,"some college credit, no degree"
28000,38,Male,Private not-for-profit employee,Bachelor's degree
27000,32,Male,Employee of a private for profit,no high school diploma
73500,41,Male,Local government employee,Regular high school diploma
76300,34,Male,Employee of a private for profit,Bachelor's degree
8600,45,Female,Self employed not incorporated,Regular high school diploma
50000,45,Male,Employee of a private for profit,Regular high school diploma
80000,41,Male,Private not-for-profit employee,Bachelor's degree
133000,36,Male,Employee of a private for profit,Bachelor's degree
94000,46,Male,Employee of a private for profit,"some college credit, no degree"
27000,37,Female,Employee of a private for profit,"some college credit, no degree"
75000,33,Male,Private not-for-profit employee,Associate's degree
10000,20,Female,Employee of a private for profit,"some college credit, no degree"
40000,33,Female,Local government employee,Bachelor's degree
3000,22,Female,Employee of a private for profit,Bachelor's degree
26000,32,Male,Private not-for-profit employee,Professional degree
60000,50,Male,Employee of a private for profit,"some college credit, no degree"
98000,31,Male,Employee of a private for profit,Bachelor's degree
15000,50,Female,Self employed not incorporated,"some college credit, no degree"
105000,47,Male,Employee of a private for profit,Bachelor's degree
28000,40,Female,Employee of a private for profit,Regular high school diploma
27000,39,Male,Employee of a private for profit,Associate's degree
130000,39,Male,Federal government employee,Bachelor's degree
29800,45,Male,Employee of a private for profit,Regular high school diploma
27800,29,Female,Employee of a private for profit,"some college credit, no degree"
40100,48,Female,Federal government employee,"some college credit, no degree"
25600,47,Male,Employee of a private for profit,Regular high school diploma
55000,30,Male,Private not-for-profit employee,"some college credit, no degree"
22000,33,Male,Self employed not incorporated,Regular high school diploma
35000,24,Male,Self employed not incorporated,"some college credit, no degree"
47700,43,Male,Local government employee,Associate's degree
7000,41,Female,Employee of a private for profit,"some college credit, no degree"
90000,29,Male,Employee of a private for profit,Bachelor's degree
25000,32,Female,State government employee,"some college credit, no degree"
56000,45,Female,Private not-for-profit employee,Bachelor's degree
34900,37,Female,Employee of a private for profit,Associate's degree
120000,47,Male,Employee of a private for profit,Associate's degree
20000,38,Female,Self employed not incorporated,Regular high school diploma
20000,48,Male,Self employed not incorporated,Regular high school diploma
30000,50,Male,Self employed not incorporated,GED or alternative credential
40500,28,Male,Self employed incorporated,Professional degree
32000,26,Female,Local government employee,Bachelor's degree
45000,26,Male,Local government employee,Bachelor's degree
60040,32,Male,Employee of a private for profit,Bachelor's degree
87000,42,Female,Local government employee,Master's degree
32000,31,Male,Employee of a private for profit,GED or alternative credential
10000,25,Female,Federal government employee,"some college credit, no degree"
35000,22,Male,Employee of a private for profit,GED or alternative credential
12000,29,Male,Local government employee,"some college credit, no degree"
50000,35,Male,Self employed incorporated,"some college credit, no degree"
50000,35,Female,Employee of a private for profit,Bachelor's degree
25000,23,Male,Federal government employee,"some college credit, no degree"
40000,25,Male,Federal government employee,Doctorate degree
52000,45,Male,State government employee,Bachelor's degree
20000,21,Female,Private not-for-profit employee,"some college credit, no degree"
30000,34,Female,Employee of a private for profit,Regular high school diploma
54000,24,Male,Employee of a private for profit,Associate's degree
40000,28,Male,Employee of a private for profit,Master's degree
55000,26,Male,Employee of a private for profit,Bachelor's degree
13500,25,Male,Employee of a private for profit,Bachelor's degree
198000,44,Female,Federal government employee,Professional degree
26000,45,Male,Employee of a private for profit,no high school diploma
85000,46,Male,State government employee,Master's degree
38800,38,Female,Employee of a private for profit,Regular high school diploma
60000,42,Male,Self employed incorporated,Associate's degree
58000,45,Male,Employee of a private for profit,Regular high school diploma
65000,41,Male,Self employed not incorporated,Associate's degree
55000,39,Female,Employee of a private for profit,"some college credit, no degree"
48000,49,Female,Private not-for-profit employee,Master's degree
25000,26,Male,Employee of a private for profit,Regular high school diploma
25400,48,Male,Employee of a private for profit,Regular high school diploma
19500,38,Female,Private not-for-profit employee,Regular high school diploma
25000,25,Female,Employee of a private for profit,Bachelor's degree
31000,46,Male,Employee of a private for profit,Associate's degree
30000,25,Female,Employee of a private for profit,Bachelor's degree
45000,32,Female,Private not-for-profit employee,Master's degree
22000,46,Male,Employee of a private for profit,Associate's degree
16520,30,Female,Federal government employee,"some college credit, no degree"
80000,42,Male,Employee of a private for profit,"some college credit, no degree"
29000,20,Male,Employee of a private for profit,"some college credit, no degree"
112280,38,Male,Employee of a private for profit,Bachelor's degree
50000,34,Female,Employee of a private for profit,Bachelor's degree
60000,43,Female,State government employee,Master's degree
38000,46,Female,Employee of a private for profit,Associate's degree
47900,39,Male,Local government employee,Master's degree
25000,44,Male,Employee of a private for profit,Regular high school diploma
50000,47,Male,Employee of a private for profit,Master's degree
109000,48,Female,Employee of a private for profit,Bachelor's degree
2.00E+05,40,Male,Employee of a private for profit,Bachelor's degree
12100,26,Female,Employee of a private for profit,Regular high school diploma
25000,29,Male,Employee of a private for profit,GED or alternative credential
20000,48,Male,Employee of a private for profit,"some college credit, no degree"
32400,28,Male,Employee of a private for profit,Regular high school diploma
52000,45,Male,Employee of a private for profit,Regular high school diploma
10000,35,Male,Employee of a private for profit,Regular high school diploma
25000,36,Male,Local government employee,"some college credit, no degree"
98000,40,Male,Employee of a private for profit,"some college credit, no degree"
14400,36,Male,Employee of a private for profit,no high school diploma
23800,22,Female,Employee of a private for profit,Bachelor's degree
55000,45,Female,Employee of a private for profit,Bachelor's degree
35000,32,Male,Employee of a private for profit,Associate's degree
50000,41,Male,Local government employee,"some college credit, no degree"
31050,27,Female,Employee of a private for profit,Bachelor's degree
13400,20,Male,Employee of a private for profit,Regular high school diploma
20000,49,Female,Employee of a private for profit,"some college credit, no degree"
43000,38,Male,Employee of a private for profit,Regular high school diploma
16000,49,Female,Employee of a private for profit,Bachelor's degree
12000,28,Male,Employee of a private for profit,Regular high school diploma
35000,36,Female,State government employee,Bachelor's degree
25000,22,Female,Employee of a private for profit,Regular high school diploma
65000,41,Male,Employee of a private for profit,Doctorate degree
18000,24,Female,Employee of a private for profit,"some college credit, no degree"
17000,50,Female,Employee of a private for profit,Doctorate degree
50000,46,Female,Employee of a private for profit,GED or alternative credential
56000,49,Male,Employee of a private for profit,"some college credit, no degree"
30000,41,Male,Employee of a private for profit,Regular high school diploma
11000,44,Female,Employee of a private for profit,GED or alternative credential
90000,40,Male,Employee of a private for profit,Associate's degree
18600,47,Female,Self employed not incorporated,Regular high school diploma
25000,27,Male,Employee of a private for profit,Regular high school diploma
77000,38,Female,Employee of a private for profit,Doctorate degree
20000,31,Female,Self employed incorporated,Regular high school diploma
20000,37,Male,Employee of a private for profit,Regular high school diploma
18000,26,Female,Employee of a private for profit,"some college credit, no degree"
34500,40,Female,Employee of a private for profit,Regular high school diploma
34200,44,Female,Employee of a private for profit,"some college credit, no degree"
38000,23,Female,Employee of a private for profit,Regular high school diploma
10150,20,Male,Private not-for-profit employee,"some college credit, no degree"
56000,45,Male,Employee of a private for profit,no high school diploma
11900,45,Male,Employee of a private for profit,Doctorate degree
38000,40,Male,Employee of a private for profit,no high school diploma
35100,49,Male,Employee of a private for profit,no high school diploma
70000,49,Male,Self employed incorporated,Bachelor's degree
7000,45,Female,Employee of a private for profit,"some college credit, no degree"
40000,44,Male,Private not-for-profit employee,Regular high school diploma
40000,29,Male,Employee of a private for profit,Bachelor's degree
40000,25,Female,Private not-for-profit employee,no high school diploma
29000,29,Female,Employee of a private for profit,Bachelor's degree
56500,46,Female,Employee of a private for profit,"some college credit, no degree"
150000,45,Male,Employee of a private for profit,Master's degree
55000,31,Female,Employee of a private for profit,"some college credit, no degree"
65000,42,Female,Employee of a private for profit,Master's degree
50000,38,Male,Self employed incorporated,"some college credit, no degree"
35000,27,Male,Employee of a private for profit,"some college credit, no degree"
35000,33,Male,Employee of a private for profit,"some college credit, no degree"
1.00E+05,46,Male,Self employed not incorporated,Regular high school diploma
32000,50,Female,Local government employee,Associate's degree
58000,50,Male,Employee of a private for profit,Bachelor's degree
24000,26,Female,Employee of a private for profit,"some college credit, no degree"
72000,32,Male,Employee of a private for profit,Regular high school diploma
32000,34,Female,Employee of a private for profit,Regular high school diploma
40000,40,Female,Local government employee,Bachelor's degree
107200,41,Female,Local government employee,"some college credit, no degree"
48000,42,Female,Employee of a private for profit,Regular high school diploma
114000,40,Female,Self employed not incorporated,Associate's degree
35000,33,Female,Private not-for-profit employee,Bachelor's degree
37000,24,Female,Local government employee,Bachelor's degree
34900,45,Male,Employee of a private for profit,"some college credit, no degree"
40600,35,Female,Employee of a private for profit,"some college credit, no degree"
5700,34,Female,Employee of a private for profit,"some college credit, no degree"
28000,46,Female,Employee of a private for profit,"some college credit, no degree"
17000,20,Male,Employee of a private for profit,"some college credit, no degree"
29820,43,Male,Employee of a private for profit,Master's degree
1.00E+05,46,Male,Employee of a private for profit,"some college credit, no degree"
85000,42,Male,Self employed not incorporated,"some college credit, no degree"
38000,39,Female,Employee of a private for profit,Regular high school diploma
25000,41,Female,Employee of a private for profit,Bachelor's degree
52000,23,Female,Employee of a private for profit,Bachelor's degree
60000,36,Male,Private not-for-profit employee,Professional degree
40000,29,Male,Employee of a private for profit,"some college credit, no degree"
65000,46,Male,Employee of a private for profit,Regular high school diploma
84000,34,Male,Private not-for-profit employee,Regular high school diploma
48000,27,Female,Employee of a private for profit,Bachelor's degree
60000,44,Male,Employee of a private for profit,GED or alternative credential
15000,39,Female,Employee of a private for profit,Regular high school diploma
90350,48,Male,Employee of a private for profit,Bachelor's degree
35000,37,Male,Employee of a private for profit,Master's degree
60000,36,Female,Private not-for-profit employee,Master's degree
38000,31,Male,Employee of a private for profit,"some college credit, no degree"
26000,23,Female,Employee of a private for profit,Regular high school diploma
35000,48,Male,Employee of a private for profit,"some college credit, no degree"
9000,34,Female,Employee of a private for profit,Regular high school diploma
96440,49,Male,Employee of a private for profit,"some college credit, no degree"
55000,49,Female,Employee of a private for profit,Regular high school diploma
49400,33,Female,Local government employee,Master's degree
40000,49,Female,Employee of a private for profit,"some college credit, no degree"
68000,35,Male,Employee of a private for profit,"some college credit, no degree"
74000,41,Female,Employee of a private for profit,Bachelor's degree
41000,46,Male,Employee of a private for profit,"some college credit, no degree"
72000,50,Female,Local government employee,Bachelor's degree
40000,21,Male,Employee of a private for profit,"some college credit, no degree"
10000,39,Female,Employee of a private for profit,Regular high school diploma
30000,34,Male,Employee of a private for profit,"some college credit, no degree"
20000,37,Male,Employee of a private for profit,no high school diploma
1.00E+05,47,Male,Employee of a private for profit,Regular high school diploma
20000,24,Female,Employee of a private for profit,Bachelor's degree
75000,45,Male,Employee of a private for profit,Associate's degree
28000,42,Female,Private not-for-profit employee,Bachelor's degree
90000,36,Male,Self employed not incorporated,GED or alternative credential
106000,45,Male,Self employed incorporated,Master's degree
160000,48,Male,Federal government employee,Bachelor's degree
11800,35,Female,Federal government employee,Bachelor's degree
75000,44,Male,Employee of a private for profit,no high school diploma
29000,50,Male,Employee of a private for profit,"some college credit, no degree"
109000,33,Female,Employee of a private for profit,Doctorate degree
40000,38,Female,Employee of a private for profit,"some college credit, no degree"
26300,22,Male,Employee of a private for profit,Regular high school diploma
62000,49,Female,Local government employee,Master's degree
40000,48,Male,Employee of a private for profit,Regular high school diploma
20000,39,Female,Local government employee,Regular high school diploma
15000,21,Female,Employee of a private for profit,Regular high school diploma
25000,24,Female,Employee of a private for profit,Bachelor's degree
30000,27,Male,Employee of a private for profit,Bachelor's degree
74000,37,Female,Employee of a private for profit,Master's degree
50000,29,Male,Employee of a private for profit,"some college credit, no degree"
19900,27,Male,Employee of a private for profit,GED or alternative credential
18000,27,Male,Employee of a private for profit,"some college credit, no degree"
17000,27,Male,Self employed not incorporated,Bachelor's degree
38000,46,Male,Employee of a private for profit,no high school diploma
72000,40,Female,Employee of a private for profit,Associate's degree
73000,49,Male,Employee of a private for profit,Regular high school diploma
10000,24,Female,Local government employee,Professional degree
50000,45,Female,Private not-for-profit employee,no high school diploma
4800,22,Male,Employee of a private for profit,Regular high school diploma
24200,28,Female,Employee of a private for profit,no high school diploma
32000,26,Female,Employee of a private for profit,"some college credit, no degree"
66000,48,Male,Employee of a private for profit,"some college credit, no degree"
43700,40,Female,Employee of a private for profit,"some college credit, no degree"
42600,34,Male,Employee of a private for profit,Associate's degree
95000,34,Male,Employee of a private for profit,Professional degree
145000,40,Male,Self employed not incorporated,Associate's degree
46200,48,Female,Employee of a private for profit,no high school diploma
60000,32,Female,Employee of a private for profit,Bachelor's degree
32000,50,Male,Employee of a private for profit,Regular high school diploma
23000,40,Female,Employee of a private for profit,Regular high school diploma
52000,36,Female,Self employed not incorporated,Professional degree
20000,29,Female,Employee of a private for profit,Regular high school diploma
31000,46,Female,Employee of a private for profit,Regular high school diploma
85000,37,Female,Local government employee,Master's degree
140000,47,Male,Federal government employee,Master's degree
60000,24,Male,Employee of a private for profit,Associate's degree
49000,46,Female,Employee of a private for profit,Bachelor's degree
47000,34,Female,Employee of a private for profit,Regular high school diploma
45000,47,Female,State government employee,"some college credit, no degree"
55000,34,Male,Employee of a private for profit,Bachelor's degree
125000,28,Male,Employee of a private for profit,"some college credit, no degree"
80000,37,Male,Employee of a private for profit,Bachelor's degree
19200,22,Female,Employee of a private for profit,GED or alternative credential
3900,22,Female,Employee of a private for profit,"some college credit, no degree"
52000,25,Male,Self employed not incorporated,Associate's degree
20000,29,Female,Self employed not incorporated,"some college credit, no degree"
20000,43,Female,Private not-for-profit employee,Associate's degree
36500,26,Female,State government employee,Master's degree
39000,49,Female,Employee of a private for profit,Regular high school diploma
26000,47,Male,Self employed incorporated,"some college credit, no degree"
37400,27,Female,Local government employee,Master's degree
25000,31,Female,Employee of a private for profit,"some college credit, no degree"
18000,20,Female,Employee of a private for profit,"some college credit, no degree"
40000,30,Male,Employee of a private for profit,Bachelor's degree
20000,24,Male,Employee of a private for profit,Bachelor's degree
24800,27,Female,Employee of a private for profit,"some college credit, no degree"
24000,47,Female,Employee of a private for profit,"some college credit, no degree"
120000,48,Male,Employee of a private for profit,Bachelor's degree
53000,29,Male,Employee of a private for profit,Bachelor's degree
38000,30,Male,Employee of a private for profit,GED or alternative credential
44000,34,Female,Employee of a private for profit,"some college credit, no degree"
20000,33,Female,Employee of a private for profit,"some college credit, no degree"
30000,23,Male,Employee of a private for profit,Regular high school diploma
40200,41,Male,Employee of a private for profit,"some college credit, no degree"
60000,46,Male,Federal government employee,Doctorate degree
12000,41,Female,Employee of a private for profit,"some college credit, no degree"
22000,20,Male,Employee of a private for profit,GED or alternative credential
18000,35,Female,Employee of a private for profit,Associate's degree
48000,50,Male,Employee of a private for profit,no high school diploma
54000,31,Female,Federal government employee,Bachelor's degree
42000,42,Male,Employee of a private for profit,Regular high school diploma
35000,26,Male,Employee of a private for profit,"some college credit, no degree"
30000,34,Female,Employee of a private for profit,Bachelor's degree
62000,22,Male,Self employed not incorporated,Regular high school diploma
60000,42,Female,Employee of a private for profit,Master's degree
30000,28,Female,Employee of a private for profit,Bachelor's degree
34000,28,Female,Employee of a private for profit,"some college credit, no degree"
20000,36,Male,Employee of a private for profit,Associate's degree
33000,29,Male,State government employee,Bachelor's degree
8700,47,Female,Employee of a private for profit,Regular high school diploma
41200,22,Female,Employee of a private for profit,Bachelor's degree
52200,39,Female,Employee of a private for profit,Bachelor's degree
112500,35,Male,Employee of a private for profit,Bachelor's degree
68000,29,Male,Employee of a private for profit,Bachelor's degree
19600,24,Female,Employee of a private for profit,Regular high school diploma
17000,47,Female,Employee of a private for profit,"some college credit, no degree"
36000,49,Male,Employee of a private for profit,Associate's degree
50100,40,Female,Employee of a private for profit,Bachelor's degree
52000,46,Male,Employee of a private for profit,Regular high school diploma
40000,48,Male,Employee of a private for profit,Regular high school diploma
32400,43,Female,Employee of a private for profit,Regular high school diploma
40000,38,Female,Employee of a private for profit,Regular high school diploma
45000,27,Male,Employee of a private for profit,"some college credit, no degree"
36000,41,Female,State government employee,Bachelor's degree
60000,48,Male,Employee of a private for profit,GED or alternative credential
73000,32,Male,Employee of a private for profit,Associate's degree
32000,46,Male,Employee of a private for profit,Regular high school diploma
23300,29,Female,Employee of a private for profit,Regular high school diploma
12000,26,Male,Employee of a private for profit,Regular high school diploma
25000,31,Male,Private not-for-profit employee,no high school diploma
53000,28,Male,Employee of a private for profit,Bachelor's degree
65000,46,Male,Employee of a private for profit,Bachelor's degree
30500,21,Male,Employee of a private for profit,"some college credit, no degree"
56000,37,Male,Employee of a private for profit,Regular high school diploma
39000,25,Male,Employee of a private for profit,Regular high school diploma
16000,40,Female,Employee of a private for profit,Associate's degree
58000,45,Male,Employee of a private for profit,Regular high school diploma
30000,46,Male,Employee of a private for profit,GED or alternative credential
55000,35,Male,Employee of a private for profit,Regular high school diploma
30000,50,Male,Employee of a private for profit,Regular high school diploma
60000,49,Female,Employee of a private for profit,Associate's degree
32400,29,Male,Self employed not incorporated,"some college credit, no degree"
90000,39,Female,Employee of a private for profit,Bachelor's degree
35000,25,Male,Employee of a private for profit,"some college credit, no degree"
40000,45,Female,Employee of a private for profit,"some college credit, no degree"
25000,28,Male,Employee of a private for profit,GED or alternative credential
34000,34,Female,Employee of a private for profit,"some college credit, no degree"
39100,38,Female,Employee of a private for profit,Bachelor's degree
68000,31,Male,State government employee,Associate's degree
70000,45,Female,Employee of a private for profit,Bachelor's degree
137100,48,Male,Employee of a private for profit,Bachelor's degree
15000,32,Male,Employee of a private for profit,Regular high school diploma
140000,40,Male,Employee of a private for profit,"some college credit, no degree"
41300,35,Male,Employee of a private for profit,Master's degree
57000,45,Male,Federal government employee,"some college credit, no degree"
26030,24,Female,Employee of a private for profit,Bachelor's degree
27300,34,Male,Self employed not incorporated,Bachelor's degree
13700,44,Female,Local government employee,Regular high school diploma
32000,30,Female,Employee of a private for profit,"some college credit, no degree"
56000,30,Male,Employee of a private for profit,"some college credit, no degree"
50000,23,Male,Employee of a private for profit,Regular high school diploma
27000,30,Male,Employee of a private for profit,"some college credit, no degree"
50000,39,Male,Employee of a private for profit,Regular high school diploma
29730,30,Male,Self employed not incorporated,Bachelor's degree
40000,33,Male,Employee of a private for profit,Regular high school diploma
32000,45,Female,Employee of a private for profit,"some college credit, no degree"
24000,44,Male,Local government employee,Regular high school diploma
21000,24,Female,Employee of a private for profit,Associate's degree
42000,25,Male,Employee of a private for profit,"some college credit, no degree"
32000,31,Male,Local government employee,Bachelor's degree
44300,27,Male,State government employee,Master's degree
20700,27,Female,Employee of a private for profit,"some college credit, no degree"
83070,48,Female,Employee of a private for profit,"some college credit, no degree"
92000,38,Male,Employee of a private for profit,GED or alternative credential
20000,22,Male,Employee of a private for profit,Bachelor's degree
19000,36,Male,Employee of a private for profit,GED or alternative credential
80100,46,Female,Employee of a private for profit,Master's degree
82000,30,Male,Employee of a private for profit,"some college credit, no degree"
